JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458840.63869,14.014,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.047,Z,18.481,18.174,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.64247,13.998,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.041,Z,18.484,18.181,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.64624,14.000,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.036,Z,18.480,18.177,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.65002,13.979,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.031,Z,18.493,18.172,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.65380,14.000,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.027,Z,18.484,18.167,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.65760,13.984,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.023,Z,18.479,18.173,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.66120,13.963,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.020,Z,18.524,18.175,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.66470,13.952,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.017,Z,18.531,18.159,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.66818,13.966,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.015,Z,18.518,18.161,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.67169,13.961,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.013,Z,18.514,18.161,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
